9780714860732,The Game of Mix and Match,,1,1,,,,English
9780714861890,The Game of Light,,1,1,,,,English
9780811879545,Press Here,,1,1,,,,English
9781406338577,A New Year's Reunion,,,,1,1,,English
9781408844632,Shhh! Don't Wake the Royal Baby!,,,,1,1,,English
9781849392952,Share,,,,1,1,,English
9781849395267,"The Best, Best Baby",,,1,,,,English
9784033280103,はらぺこあおむし,,,1,,,,日本語
9784033315409,100かいだてのいえ,,,1,,,,日本語
9784033316604,ちか100かいだてのいえ,,,1,,,,日本語
9784834008999,きんぎょが にげた,,,1,,,,日本語
9784834024982,うさこちゃんとにーなちゃん,,,1,,,,日本語
9789570838428,公主來我家,,1,,,,,中文
9789570838435,可愛的尺,,1,,,,,中文
9789570838442,我要當好爸爸,,1,,,,,中文
9789570838459,爸爸不見了,,1,,,,,中文
9789570838466,從前從前的人數數時,,1,,,,,中文
9789570838473,猜一猜,,1,,,,,中文
9789570838480,亂七八糟女巫的城堡,,1,,,,,中文
9789570838497,誰先吃桃子,,1,,,,,中文
9789570838503,蜘蛛與糖果店,,1,,,,,中文
9789570838510,魔法學校發生的事,,1,,,,,中文
9789570839012,卡卡先生與蛋蛋的夢想,,1,,,,,中文
9789570839029,美味的馬鈴薯濃湯,,1,,,,,中文
9789570839036,小健的蔬菜,,1,,,,,中文
9789570839043,時間的故事,,1,,,,,中文
9789570839050,感情和睦好鄰居,,1,,,,,中文
9789570839067,燕子啊! 你還記得嗎?,,1,,,,,中文
9789570839074,雙胞胎兄弟,,1,,,,,中文
9789570839081,逃離可怕貓咪的方法,,1,,,,,中文
9789570839098,熊熊家族與怪獸玩猜謎,,1,,,,,中文
9789570839104,點與線的相遇,,1,,,,,中文
9789573265795,我吃拉麵的時候,,,1,,,,中文
9789576420580,爸爸跟我玩,,,,1,1,,中文
9789576421297,小金魚逃走了,,,,1,1,,中文
9789576428425,愛吃水果的牛,,,,1,,1,中文
9789577622228,猜猜我有多愛你(中英雙語),,,,1,1,,中文
9789577622426,親愛的動物園,,,,1,,1,中文
9789577622969,誰吃掉了?,,,,1,,,中文
9789577623287,小波在哪裡?,,,,1,,,中文
9789577623393,我的創意畫冊,,,3,,,,中文
9789577623461,語言圖鑑 1: 各式各樣的名字,2,,1,,,,中文
9789577623478,語言圖鑑 2: 有趣的形容詞,2,,1,,,,中文
9789577624000,紅圓圓和黑圓圓,,1,1,,,,中文
9789577624352,我絕對絕對不吃番茄,,,,1,,1,中文
9789577624369,我不睏，我不要睡覺,,,,1,1,,中文
9789577624628,禮貌,,,,1,,,中文
9789577624635,我的感覺．你的感覺,,,,1,,,中文
9789577624741,下雨天,,,,1,,1,中文
9789577624994,莉莉和好朋友系列 (開心的樂樂/ 漂亮的亮亮/ 胖胖在哪裡?/ 愛咬的牙牙),,,,4,,,中文
9789577625038,小黃點,,1,1,,,,中文
9789577625090,移動的積木,,1,1,,,,中文
9789577625144,數字在哪裡,,1,1,,,,中文
9789577625250,迴轉壽司,,,1,,,,中文
9789577625281,小豬穿褲子,,,1,,,,中文
9789577625380,巴士到站了,,,1,,,,中文
9789577625397,有些時候，我特別喜歡爸爸,,,1,,,,中文
9789861610177,Guji Guji (中英雙語附CD),1,,,,,,中文
9789861610191,建築師傑克,,1,1,,,,中文
9789861611839,請問一下，踩得到底嗎？(中英雙語書+中英雙語CD),1,,1,,,,中文
9789861612478,團圓,,,,1,1,,中文
